;FR20030;FR20026;FR20017;FR20002;FR20013;FR20045;FR20029;FR20049;FR20019;FR20038;FR20020;FR20008;FR20033;FR20037;FR20003;FR20004;FR20048;FR20016;FR20031;FR20046;FR20061;FR20062;FR20063;FR20065;FR20069;FR20070;FR20071;FR20077
17/03/2000;23.0;-1.0;28.0;54.0;69.0;20.0;39.0;11.0;37.0;33.0;44.0;38.0;32.0;25.0;46.0;18.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
18/03/2000;18.0;-1.0;23.0;50.0;46.0;14.0;36.0;11.0;29.0;31.0;30.0;36.0;27.0;21.0;42.0;17.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
19/03/2000;20.0;-1.0;19.0;49.0;41.0;11.0;31.0;9.0;26.0;24.0;24.0;35.0;22.0;17.0;37.0;14.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
20/03/2000;44.0;-1.0;44.0;67.0;80.0;42.0;40.0;12.0;66.0;34.0;50.0;57.0;35.0;36.0;68.0;38.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
21/03/2000;37.0;-1.0;64.0;91.0;98.0;36.0;33.0;19.0;93.0;42.0;68.0;84.0;35.0;51.0;92.0;65.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
22/03/2000;19.0;-1.0;61.0;90.0;89.0;-1.0;25.0;15.0;73.0;28.0;44.0;82.0;22.0;32.0;76.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
23/03/2000;17.0;-1.0;61.0;86.0;99.0;-1.0;21.0;18.0;88.0;27.0;69.0;82.0;25.0;29.0;80.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
24/03/2000;28.0;-1.0;62.0;84.0;92.0;-1.0;32.0;14.0;85.0;34.0;59.0;74.0;28.0;34.0;87.0;59.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
25/03/2000;26.0;-1.0;45.0;62.0;-1.0;-1.0;27.0;11.0;64.0;27.0;46.0;63.0;27.0;29.0;69.0;43.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
26/03/2000;17.0;-1.0;25.0;56.0;52.0;31.0;23.0;6.0;56.0;18.0;39.0;40.0;19.0;23.0;49.0;22.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
