;FR20003;FR20017;FR20038;FR20045;FR20026;FR20049;FR20019;FR20002;FR20037;FR20029;FR20033;FR20013;FR20020;FR20008;FR20030;FR20004;FR20048;FR20016;FR20031;FR20046;FR20061;FR20062;FR20063;FR20065;FR20069;FR20070;FR20071;FR20077;indicateur;moyenne;q1;mediane;q3;d10
16/03/2007;64.0;35.0;34.0;64.0;-1.0;0.0;11.0;54.0;11.0;37.0;-1.0;166.0;-1.0;65.0;-1.0;9.0;8.0;60.0;32.0;30.0;14.0;9.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;40.77;1;1;1;1;0
17/03/2007;30.0;2.0;5.0;8.0;-1.0;0.0;2.0;21.0;1.0;6.0;-1.0;74.0;-1.0;20.0;-1.0;2.0;0.0;14.0;13.0;0.0;7.0;3.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;12.66;0;1;0;0;0
18/03/2007;22.0;1.0;3.0;2.0;-1.0;0.0;14.0;21.0;1.0;2.0;-1.0;43.0;-1.0;14.0;-1.0;0.0;0.0;6.0;2.0;0.0;1.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;10.91;0;0;0;0;0
19/03/2007;64.0;4.0;6.0;19.0;-1.0;0.0;27.0;32.0;2.0;8.0;-1.0;122.0;-1.0;30.0;-1.0;4.0;0.0;24.0;5.0;2.0;5.0;6.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;23.02;0;1;1;0;0
20/03/2007;43.0;4.0;23.0;11.0;-1.0;0.0;3.0;15.0;2.0;20.0;-1.0;95.0;-1.0;20.0;-1.0;1.0;0.0;16.0;7.0;0.0;2.0;4.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;14.27;0;1;0;0;0
21/03/2007;50.0;4.0;21.0;14.0;-1.0;0.0;4.0;15.0;2.0;18.0;-1.0;124.0;-1.0;18.0;-1.0;2.0;0.0;-1.0;10.0;1.0;3.0;7.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;15.29;0;1;0;0;0
22/03/2007;72.0;7.0;22.0;20.0;-1.0;0.0;6.0;36.0;3.0;17.0;-1.0;164.0;-1.0;41.0;-1.0;4.0;0.0;-1.0;14.0;0.0;4.0;7.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;26.65;0;1;1;0;0
23/03/2007;63.0;5.0;17.0;20.0;-1.0;0.0;17.0;40.0;10.0;12.0;-1.0;182.0;-1.0;25.0;-1.0;4.0;2.0;-1.0;11.0;5.0;4.0;10.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;23.74;0;1;1;0;0
24/03/2007;42.0;5.0;11.0;9.0;-1.0;0.0;4.0;24.0;2.0;8.0;-1.0;110.0;-1.0;23.0;-1.0;3.0;0.0;-1.0;10.0;1.0;7.0;4.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;15.96;0;1;0;0;0
25/03/2007;25.0;4.0;5.0;13.0;-1.0;1.0;12.0;23.0;3.0;6.0;-1.0;70.0;-1.0;13.0;-1.0;2.0;0.0;-1.0;9.0;1.0;5.0;4.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;11.64;0;0;0;0;0
26/03/2007;127.0;57.0;18.0;50.0;-1.0;1.0;117.0;119.0;36.0;38.0;-1.0;191.0;-1.0;126.0;-1.0;49.0;18.0;-1.0;42.0;43.0;27.0;52.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;87.34;1;1;1;1;1
27/03/2007;104.0;27.0;25.0;24.0;-1.0;1.0;75.0;71.0;35.0;47.0;-1.0;160.0;-1.0;100.0;-1.0;22.0;4.0;-1.0;18.0;35.0;28.0;19.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;56.84;1;1;1;1;0
28/03/2007;78.0;21.0;19.0;38.0;-1.0;0.0;49.0;64.0;24.0;23.0;-1.0;181.0;-1.0;65.0;-1.0;16.0;4.0;-1.0;16.0;20.0;22.0;15.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;42.67;1;1;1;1;0
29/03/2007;85.0;18.0;22.0;25.0;-1.0;0.0;53.0;60.0;28.0;43.0;-1.0;174.0;-1.0;69.0;-1.0;19.0;11.0;-1.0;21.0;25.0;23.0;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;43.74;1;1;1;1;0
30/03/2007;55.0;7.0;6.0;9.0;-1.0;0.0;40.0;47.0;8.0;4.0;-1.0;189.0;-1.0;62.0;-1.0;5.0;0.0;-1.0;7.0;1.0;9.0;9.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;30.39;1;1;1;0;0
