;id_station;valeur
20/08/2007;FR20062;8.0
21/08/2007;FR20046;8.1
21/08/2007;FR20013;17.0
22/08/2007;FR20046;10.1
23/08/2007;FR20046;9.6
23/08/2007;FR20062;11.0
24/08/2007;FR20062;13.0
24/08/2007;FR20013;28.0
24/08/2007;FR20046;11.9
25/08/2007;FR20013;26.0
25/08/2007;FR20062;16.0
25/08/2007;FR20046;18.5
26/08/2007;FR20013;26.0
26/08/2007;FR20046;19.2
26/08/2007;FR20062;16.0
27/08/2007;FR20013;30.0
27/08/2007;FR20046;19.7
27/08/2007;FR20062;19.0
28/08/2007;FR20062;28.0
28/08/2007;FR20013;39.0
28/08/2007;FR20046;26.1
29/08/2007;FR20013;39.0
29/08/2007;FR20046;24.8
29/08/2007;FR20062;27.0
30/08/2007;FR20013;28.0
30/08/2007;FR20046;19.2
30/08/2007;FR20062;21.0
31/08/2007;FR20013;23.0
31/08/2007;FR20062;19.0
31/08/2007;FR20046;14.3
01/09/2007;FR20062;15.0
01/09/2007;FR20013;21.0
01/09/2007;FR20046;11.4
02/09/2007;FR20062;15.0
02/09/2007;FR20013;19.0
02/09/2007;FR20046;12.8
03/09/2007;FR20062;13.0
03/09/2007;FR20013;19.0
03/09/2007;FR20046;11.6
04/09/2007;FR20046;9.3
04/09/2007;FR20062;10.0
04/09/2007;FR20013;18.0
05/09/2007;FR20013;16.0
05/09/2007;FR20062;10.0
06/09/2007;FR20046;11.2
06/09/2007;FR20013;19.0
06/09/2007;FR20062;11.0
07/09/2007;FR20013;23.0
07/09/2007;FR20046;14.2
07/09/2007;FR20062;15.0
08/09/2007;FR20046;11.9
08/09/2007;FR20013;20.0
08/09/2007;FR20062;13.0
09/09/2007;FR20046;12.1
09/09/2007;FR20062;13.0
09/09/2007;FR20013;20.0
10/09/2007;FR20013;25.0
10/09/2007;FR20046;12.6
10/09/2007;FR20062;14.0
11/09/2007;FR20046;12.0
11/09/2007;FR20013;19.0
11/09/2007;FR20062;13.0
12/09/2007;FR20013;26.0
12/09/2007;FR20046;14.2
12/09/2007;FR20062;15.0
13/09/2007;FR20062;25.0
13/09/2007;FR20046;20.9
13/09/2007;FR20013;39.0
14/09/2007;FR20013;35.0
14/09/2007;FR20046;21.4
14/09/2007;FR20062;22.0
15/09/2007;FR20046;22.7
15/09/2007;FR20062;23.0
15/09/2007;FR20013;32.0
16/09/2007;FR20013;29.0
16/09/2007;FR20046;23.1
16/09/2007;FR20062;24.0
17/09/2007;FR20062;21.0
17/09/2007;FR20046;18.4
17/09/2007;FR20013;31.0
18/09/2007;FR20062;12.0
18/09/2007;FR20046;9.2
18/09/2007;FR20013;21.0
19/09/2007;FR20013;20.0
19/09/2007;FR20046;9.5
19/09/2007;FR20062;12.0
20/09/2007;FR20062;18.0
20/09/2007;FR20046;17.3
20/09/2007;FR20013;27.0
21/09/2007;FR20013;32.0
21/09/2007;FR20046;21.7
21/09/2007;FR20062;24.0
22/09/2007;FR20013;30.0
22/09/2007;FR20046;17.5
22/09/2007;FR20062;20.0
23/09/2007;FR20062;26.0
23/09/2007;FR20013;33.0
23/09/2007;FR20046;21.7
24/09/2007;FR20013;34.0
24/09/2007;FR20062;23.0
24/09/2007;FR20046;19.2
25/09/2007;FR20013;19.0
25/09/2007;FR20062;12.0
25/09/2007;FR20046;10.6
26/09/2007;FR20062;11.0
26/09/2007;FR20013;18.0
26/09/2007;FR20046;8.8
27/09/2007;FR20046;7.6
27/09/2007;FR20062;10.0
27/09/2007;FR20013;15.0
28/09/2007;FR20046;13.4
28/09/2007;FR20013;24.0
28/09/2007;FR20062;14.0
29/09/2007;FR20062;17.0
29/09/2007;FR20013;28.0
29/09/2007;FR20046;17.1
30/09/2007;FR20046;13.4
30/09/2007;FR20013;20.0
30/09/2007;FR20062;14.0
01/10/2007;FR20013;30.0
01/10/2007;FR20046;19.9
01/10/2007;FR20062;22.0
02/10/2007;FR20062;30.0
02/10/2007;FR20046;26.6
02/10/2007;FR20013;37.0
03/10/2007;FR20062;32.0
03/10/2007;FR20046;28.8
03/10/2007;FR20013;39.0
04/10/2007;FR20046;29.9
04/10/2007;FR20013;41.0
04/10/2007;FR20062;30.0
